"Rule ID","Rule","Reaction order","EC number"
"1.3.1.a2","([H][C:6]([*,#1:7])([*,#1:9])[C:4]([H])([*,#1:10])[#6:2](\[*,#1:3])=[#7:8]/[*,#1:12])>>([*,#1:7]\[#6:6](-[*,#1:9])=[#6:4](/[*,#1:10])\[#6:2](\[*,#1:3])=[#7:8]/[*,#1:12])",1,"1.3.1.-"
"1.3.1.b","([H][#8]-[#6](=O)[C:2]1([*,#1:17])[#6:1](-[*,#1:7])=[#6:6](-[*,#1:8])[C:5]([H])([*,#1:9])[#6:4](-[*,#1:10])=[#6:3]1-[*,#1:11])>>([*,#1:7]-[#6:1]-1=[#6:6](-[*,#1:8])-[#6:5](-[*,#1:9])=[#6:4](-[*,#1:10])-[#6:3](-[*,#1:11])=[#6:2]-1-[*,#1:17])",1,"1.3.1.-"
"1.3.1.c","([H:1][#8:2][C:12]1([H])[#6:11](-[*,#1:3])=[#6:10](-[*,#1:4])-[#6:9](-[*,#1:5])=[#6:8](-[*,#1:6])[C:13]1([H])[#8:7][H:14])>>([H:1][#8:2]-[#6:12]-1=[#6:13](-[#8:7][H:14])-[#6:8](-[*:6])=[#6:9](-[*:5])-[#6:10](-[*:4])=[#6:11]-1-[*:3])",1,"1.3.1.-"
"1.3.1.d","([#6:3]\[#6:1](-[#6:5])=[#6:2](\[*,#1:4])-[*,#1:6])>>([H][C:1]([#6:5])([#6:3])[C:2]([H])([*,#1:4])[*,#1:6])",1,"1.3.1.-"
"1.4.-1.a","([#6,#1:3]-[#6:2](-[#6,#1:4])=O)>>([H][#7]([H])[C:2]([H])([*:3])[*:4])",1,"1.4.-1.-"
"1.4.1.a","([H][#7]([H])[C:2]([H])([#6,#1:3])[#6,#1:4])>>([*:3]-[#6:2](-[*:4])=O)",1,"1.4.1.-"
"2.1.2.a","([H:10][#8:5]-[#6:2](=[O:6])[C:1]([H])([*,#1:3])[#7:4]([H:7])[H:8])>>([H][#8]-[#6][C:1]([*,#1:3])([#7:4]([H:7])[H:8])[#6:2](=[O:6])-[#8:5][H:10])",1,"2.1.2.-"
"2.1.2.b","([H:12][#8]-[#6][C:4]([*,#1:5])([#7:2]([H:1])[H:3])[#6:7](=[O:9])-[#8:8][H:10])>>([H:10][#8:8]-[#6:7](=[O:9])[C:4]([H:12])([*:5])[#7:2]([H:1])[H:3])",1,"2.1.2.-"
"2.3.-3.a","([H][#8]-[#6](=O)C([H])([H])[C:3]([#6,#1:2])([#6,#1:1])[#8:4][H])>>([*:1]-[#6:3](-[*:2])=[O:4])",1,"2.3.-3.-"
"2.3.1.a","([#6:3]-[#6:2](-[#16])=[O:1])>>([H][#8]P(=O)([#8][H])[#8]-[#6:2](-[#6:3])=[O:1])",1,"2.3.1.-"
"2.3.3.a","([#6,#1:1]-[#6:3](-[#6,#1:2])=[O:4])>>([H][#8]-[#6](=O)C([H])([H])[C:3]([*:2])([*:1])[#8:4][H])",1,"2.3.3.-"
"2.6.-1.a","([H][#7]([H])-[#6:4](-[#6,#1:3])-[#6,#1:2])>>([*:2]-[#6:4](-[*:3])=O)",1,"2.6.-1.-"
"2.6.1.a","([#6,#1:2]-[#6:4](-[#6,#1:3])=O)>>([H][#7]([H])-[#6:4](-[*:3])-[*:2])",1,"2.6.1.-"
"2.7.1.a","([H][#8:2]-[#6:1])>>([H][#8]P(=O)([#8][H])[#8:2]-[#6:1])",1,"2.7.1.-"
"3.1.-2.b","([H][#6:3](-[*,#1:1])=[O:2])>>([#16]-[#6:3](-[*,#1:1])=[O:2])",1,"3.1.-2.-"
"3.1.1.a","([#6:1]-[#8:2]-[#6:3](-[#6:5])=[O:4])>>([H][#8]-[#6:1].[H][#8:2]-[#6:3](-[#6:5])=[O:4])",1,"3.1.1.-"
"3.1.1.b","([#6:1]-[#8:2]-[#6:3](-[*,#1:5])=[#6:4])>>([H][#8:2]-[#6:3](-[*,#1:5])=[#6:4].[H][#8]-[#6:1])",1,"3.1.1.-"
"3.1.2.a","([#16]-[#6:3](-[*,#1:1])=[O:2])>>([H][#8]-[#6:3](-[*,#1:1])=[O:2])",1,"3.1.2.-"
"3.1.2.b","([#16]-[#6:3](-[*,#1:1])=[O:2])>>([H][#6:3](-[*,#1:1])=[O:2])",1,"3.1.2.-"
"3.1.3.a","([*,#1:3]-[#8:2][P:1](=[O:5])([#8:4]-[*,#1:7])[#8:6]-[*,#1:8])>>([H][#8:6][P:1](=[O:5])([#8:2]-[*:3])[#8:4]-[*:7].[H][#8]-[*:8])",1,"3.1.3.-"
"3.13.1.a","([#6:5][S:2](=[O:1])(=[O:3])[#8:4]-[*,#1:6])>>([#8:1][S:2](=[O:3])[#8:4]-[*,#1:6].[H][#8]-[#6:5])",1,"3.13.1.-"
"3.3.2.a","([*,#1:1][C:2]1([*,#1:5])[#8:4][C:3]1([*,#1:6])[*,#1:7])>>([H][#8:4][C:2]([*,#1:5])([*,#1:1])[C:3]([*,#1:6])([*,#1:7])[#8][H])",1,"3.3.2.-"
"3.5.1.a","([*,#1:1]-[#7:3](-[*,#1:5])-[#6:2](-[*,#1:6])=[O:4])>>([H][#8]-[#6:2](-[*,#1:6])=[O:4].[H][#7:3](-[*,#1:1])-[*,#1:5])",1,"3.5.1.-"
"3.5.1.a1","([*,#1:6]-[#6:2](=[O:4])-[#7:3]=[*,#1:1])>>([H][#8]-[#6:2](-[*,#1:6])=[O:4].[H][#7:3]=[*,#1:1])",1,"3.5.1.-"
"3.5.3.a","([#16,#6,#1,#7:4]\[#7:2]=[#6:3](/[#16,#6,#1,#7:1])-[#16,#6,#1,#7:5])>>([*:1]-[#6:3](-[*:5])=O.[H][#7:2]([H])-[*:4])",1,"3.5.3.-"
"3.5.3.b","([*,#1:7]\[#7:1]=[#6:2](\[*,#1:3])-[#7:4](-[*,#1:5])-[*,#1:6])>>([H][#8]\[#6:2](-[*,#1:3])=[#7:1]/[*,#1:7].[H][#7:4](-[*,#1:5])-[*,#1:6])",1,"3.5.3.-"
"3.5.4.a","([H:3][#7:4](-[*,#1:2])-[#6:6](\[*,#1:5])=[#6:7](/[*,#1:1])-[*,#1:8])>>([H:3][C:7]([*,#1:1])([*,#1:8])[#6:6](\[*,#1:5])=[#7:4]/[*,#1:2])",1,"3.5.4.-"
"3.7.1.a","([#16,#6,#1,#7:3]-[#6:2](=[O:1])[C:4]([*,#1:5])([*,#1:7])[#6:6](-[#16,#6,#1,#7:8])=[O:9])>>([H][#8]-[#6:6](-[*:8])=[O:9].[H][C:4]([*:7])([*:5])[#6:2](-[*:3])=[O:1])",1,"3.7.1.-"
"3.7.1.b","([*,#1:8]-[#6:6](-[#7:9](-[*,#1:10])-[*,#1:11])[C:4]([*,#1:5])([*,#1:7])[#6:2](-[*,#1:3])=[O:1])>>([H][#8]-[#6:2](-[*,#1:3])=[O:1].[H][C:4]([*,#1:5])([*,#1:7])[#6:6](-[*,#1:8])-[#7:9](-[*,#1:10])-[*,#1:11])",1,"3.7.1.-"
"3.7.1.c","([#16,#6,#1,#7:8]-[#6:7](=[O:6])-[#6:10](\[*,#1:3])=[#6:5](/[*,#1:4])-[#6:2](-[*,#1:9])=[O:1])>>([H][#8]-[#6:7](-[*:8])=[O:6].[H]\[#6:10](-[*:3])=[#6:5](/[*:4])-[#6:2](-[*:9])=[O:1])",1,"3.7.1.-"
"3.7.1.d","([#16,#6,#1,#7:1]-[#6:12](=[O:14])-[#6:9](\[*,#1:13])=[#6:8](/[*,#1:11])\[#6:7](\[*,#1:10])=[#6:5](/[*,#1:6])-[#6:3](-[*,#1:4])=[O:2])>>([H]\[#6:9](-[*:13])=[#6:8](/[*:11])\[#6:7](\[*:10])=[#6:5](/[*:6])-[#6:3](-[*:4])=[O:2].[H][#8]-[#6:12](-[*:1])=[O:14])",1,"3.7.1.-"
"4.1.1.a","([H][#8]-[#6](=O)-[#6:1](-[#16,#6,#8:2])=[O:3])>>([H][#6:1](-[*:2])=[O:3])",1,"4.1.1.-"
"4.1.1.b","([H:1][#8]-[#6](=O)[C:5]([#16,#6,#8,#1:6])([#16,#6,#8,#1:7])[#6:8](-[#16,#6,#8,#1:9])=[O:10])>>([H:1][C:5]([*:6])([*:7])[#6:8](-[*:9])=[O:10])",1,"4.1.1.-"
"4.1.1.c","([H][#8]-[#6](=O)[C:3]([#1,#6,#7:2])([#1,#6,#7:8])[#7:1]([H:9])[H:10])>>([H:9][#7:1]([H:10])[C:3]([H])([*:2])[*:8])",1,"4.1.1.-"
"4.1.1.d","([H:7][#8:6]-[#6:5](=[O:4])[C:11]([*,#1:12])([*,#1:13])[C:3]([#1,#6,#7:8])([#1,#6,#7:2])[#7:1]([H:10])[H:9])>>([H:9][#7:1]([H:10])[C:3]([*:2])([*:8])[C:11]([H])([*:13])[*:12])",1,"4.1.1.-"
"4.1.1.e","([H][#8]-[#6](=O)[C:4]([*,#1:5])([*,#1:11])[C:2]([*,#1:3])([*,#1:10])[#8:1]-[*,#1:9])>>([H][#8:1]-[*,#1:9].[*,#1:5]-[#6:4](-[*,#1:11])=[#6:2](-[*,#1:10])-[*,#1:3])",1,"4.1.1.-"
"4.1.1.f","([H][#8:10]-[#6:9](=[O:11])[C:7]([*,#1:12])([*,#1:13])[#6:6](\[*,#1:8])=[#6:4](/[*,#1:5])[C:2]([*,#1:3])([*,#1:14])[#8:1]-[*,#1:15])>>([H][#8:1]-[*,#1:15].[*,#1:14]-[#6:2](-[*,#1:3])=[#6:4](-[*,#1:5])-[#6:6](-[*,#1:8])=[#6:7](-[*,#1:13])-[*,#1:12])",1,"4.1.1.-"
